dataset	superfamily	superfamily_name	n_substrate	n_substrate_total	n_background	n_background_total	odds_ratio	ci_lower	ci_upper	pvalue	pvalue_bh	significant
hsp60	3.30.479.30	Band 7 domain	3	241	1	663	8.344537815126051	0.863770024078122	80.61325284167418	0.06021941311804072	0.37716369268667616	False
hsp60	3.30.70.330		3	241	1	663	8.344537815126051	0.863770024078122	80.61325284167418	0.06021941311804072	0.37716369268667616	False
hsp60	3.40.50.261	Succinyl-CoA synthetase domains	3	241	1	663	8.344537815126051	0.863770024078122	80.61325284167418	0.06021941311804072	0.37716369268667616	False
hsp60	3.40.718.10	Isopropylmalate Dehydrogenase	3	241	1	663	8.344537815126051	0.863770024078122	80.61325284167418	0.06021941311804072	0.37716369268667616	False
hsp60	3.40.309.10	Aldehyde Dehydrogenase; Chain A, domain 2	6	241	5	663	3.36	1.015917424539681	11.112714210129228	0.07747576654199986	0.4390293437379992	False
hsp60	3.40.605.10	Aldehyde Dehydrogenase; Chain A, domain 1	6	241	5	663	3.36	1.015917424539681	11.112714210129228	0.07747576654199986	0.4390293437379992	False
hsp60	3.30.930.10	Bira Bifunctional Protein; Domain 2	6	241	7	663	2.3927051671732524	0.7960028397860336	7.192233156550645	0.12009020372658522	0.5834003976339459	False
hsp60	3.10.20.30		3	241	2	663	4.165966386554622	0.6918382930770096	25.085740566215144	0.12118979774068182	0.5834003976339459	False
hsp60	3.40.50.10860	Leucine Dehydrogenase, chain A, domain 1	3	241	2	663	4.165966386554622	0.6918382930770096	25.085740566215144	0.12118979774068182	0.5834003976339459	False
hsp60	1.10.287.110		0	241	9	663	0.0	0.00826992434706127	2.4602333029542445	0.12256310874662729	0.5834003976339459	False
hsp60	3.10.450.240		2	241	1	663	5.539748953974895	0.500022023112351	61.374933612014964	0.17501720843299623	0.743823135840234	False
hsp60	3.30.2350.10	Pseudouridine synthase	2	241	1	663	5.539748953974895	0.500022023112351	61.374933612014964	0.17501720843299623	0.743823135840234	False
hsp60	4.10.320.10	E3-binding domain	2	241	1	663	5.539748953974895	0.500022023112351	61.374933612014964	0.17501720843299623	0.743823135840234	False
hsp60	1.10.12.10	Lyase 2-enoyl-coa Hydratase, Chain A, domain 2	3	241	3	663	2.773109243697479	0.5558753960627275	13.834278206860253	0.19590508182594044	0.7770901579095637	False
hsp60	3.30.390.30		3	241	3	663	2.773109243697479	0.5558753960627275	13.834278206860253	0.19590508182594044	0.7770901579095637	False
hsp60	3.30.160.20		4	241	4	663	2.780590717299578	0.689910014694443	11.2068017168252	0.21983736015867922	0.8293253158202416	False
hsp60	3.90.1150.10	Aspartate Aminotransferase, domain 1	6	241	9	663	1.8553191489361702	0.6533422765275043	5.268615346162013	0.24564933552339036	0.8293253158202416	False
hsp60	3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	23	241	47	663	1.3827835252781573	0.8203433153826388	2.330841541493902	0.25961061116018264	0.8293253158202416	False
hsp60	1.10.150.20	5' to 3' exonuclease, C-terminal subdomain	2	241	2	663	2.7656903765690375	0.38740492946105837	19.744310609799452	0.28981500374782043	0.8293253158202416	False
hsp60	3.30.70.100		2	241	2	663	2.7656903765690375	0.38740492946105837	19.744310609799452	0.28981500374782043	0.8293253158202416	False
hsp60	3.30.300.30		1	241	9	663	0.30277777777777776	0.03815623314173379	2.4026056863506144	0.30494319132399184	0.8293253158202416	False
hsp60	3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	1	241	9	663	0.30277777777777776	0.03815623314173379	2.4026056863506144	0.30494319132399184	0.8293253158202416	False
hsp60	3.40.50.12780	N-terminal domain of ligase-like	1	241	10	663	0.27208333333333334	0.03464403972525791	2.1368564654948505	0.3050674363205508	0.8293253158202416	False
hsp60	3.40.50.720	NAD(P)-binding Rossmann-like Domain	16	241	33	663	1.3575757575757577	0.7330919094418679	2.5140257501416854	0.322800877299228	0.8293253158202416	False
hsp60	1.10.510.10		0	241	5	663	0.0	0.013654796089281575	4.499939749995863	0.3325252262231943	0.8293253158202416	False
hsp60	1.20.1050.10		0	241	5	663	0.0	0.013654796089281575	4.499939749995863	0.3325252262231943	0.8293253158202416	False
hsp60	1.25.10.10		0	241	5	663	0.0	0.013654796089281575	4.499939749995863	0.3325252262231943	0.8293253158202416	False
hsp60	2.40.160.10		0	241	5	663	0.0	0.013654796089281575	4.499939749995863	0.3325252262231943	0.8293253158202416	False
